18:11:44 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[.=' Logout ']
18:11:47 INFO  manager.MyListener - Element with locator -->By.xpath: //a[.=' Logout ']is found
18:11:47 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[text()=' Log in ']
18:11:47 INFO  manager.MyListener - Element with locator -->By.xpath: //a[text()=' Log in ']is found
18:11:47 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='email']
18:11:47 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='email']is found
18:11:47 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='password']
18:11:47 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='password']is found
18:11:48 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[type='submit']
18:11:48 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[type='submit']is found
18:11:48 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //h1[normalize-space()='Logged in']
18:11:49 INFO  manager.MyListener - Element with locator -->By.xpath: //h1[normalize-space()='Logged in']is found
18:11:49 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //button[normalize-space()='Ok']
18:11:49 INFO  manager.MyListener - Element with locator -->By.xpath: //button[normalize-space()='Ok']is found
