21:00:09 INFO  manager.ApplicationManager - Test start on Chrome
21:00:11 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[.=' Logout ']
21:00:14 INFO  manager.MyListener - Element with locator -->By.xpath: //a[.=' Logout ']is found
21:00:14 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //a[text()=' Log in ']
21:00:14 INFO  manager.MyListener - Element with locator -->By.xpath: //a[text()=' Log in ']is found
21:00:14 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='email']
21:00:14 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='email']is found
21:00:14 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //input[@id='password']
21:00:14 INFO  manager.MyListener - Element with locator -->By.xpath: //input[@id='password']is found
21:00:15 INFO  manager.MyListener - Start searching element by locator -->By.cssSelector: button[type='submit']
21:00:15 INFO  manager.MyListener - Element with locator -->By.cssSelector: button[type='submit']is found
21:00:15 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //h1[normalize-space()='Logged in']
21:00:16 INFO  manager.MyListener - Element with locator -->By.xpath: //h1[normalize-space()='Logged in']is found
21:00:16 INFO  manager.MyListener - Start searching element by locator -->By.xpath: //button[normalize-space()='Ok']
21:00:16 INFO  manager.MyListener - Element with locator -->By.xpath: //button[normalize-space()='Ok']is found
